POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2034,0.21605196,0.09705861,0.20893727,0.22289550,0.33531646,0.11489161,0.60649411,0.51650592,0.07922561,0.27182683,0.19534431,0.10337420,0.17396418,0.01033231,0.15780494,0.19401922
2035,0.25540538,0.17654755,0.24469966,0.23157853,0.36879580,0.20974920,0.68857459,0.43321393,0.14334590,0.34024608,0.18747946,0.14364546,0.12291099,0.01274806,0.15784417,0.32308744
2036,0.24265727,0.17931726,0.22227127,0.23000181,0.33903874,0.22307363,0.66502162,0.33664574,0.13556089,0.35544217,0.10062924,0.13141397,0.10456145,0.04452937,0.19485794,0.28483633
2037,0.28315130,0.13529321,0.24875387,0.37341943,0.37513871,0.16093702,0.49935619,0.66268854,0.10964939,0.28648515,0.23310580,0.17757308,0.46035371,0.02044652,0.13024568,0.15094340
2038,0.23174344,0.08862819,0.17416573,0.33524924,0.32893062,0.08996402,0.60733653,0.50798516,0.08729235,0.27802148,0.09175396,0.11043677,0.39247699,0.01020124,0.12145179,0.08851249
2039,0.22842830,0.06438395,0.17621497,0.35420436,0.31890994,0.07512894,0.58373209,0.54000555,0.05363897,0.27112734,0.11766953,0.07677317,0.43728138,0.00801434,0.11401667,0.08171104
2040,0.24436679,0.13819014,0.21097417,0.27992293,0.34837993,0.13988176,0.67977812,0.48119077,0.13649852,0.27395431,0.08086053,0.09266907,0.28589156,0.01448068,0.16563361,0.20834348
2041,0.23139364,0.07948534,0.19758211,0.32362204,0.32488506,0.09051944,0.58352055,0.54521680,0.06845124,0.34328614,0.10165711,0.08028345,0.30395793,0.00763035,0.12819978,0.14696183
2042,0.22697918,0.08492341,0.24324132,0.21712807,0.36262390,0.10429191,0.52370419,0.67747500,0.06555492,0.19048385,0.17970098,0.14502447,0.24377228,0.01201868,0.10000879,0.17917970
2043,0.20656115,0.06172011,0.22269146,0.19072540,0.35110761,0.08001622,0.50690978,0.72366906,0.04342401,0.15663673,0.16677065,0.09383539,0.22481408,0.01203043,0.11867584,0.07505012
2044,0.21820452,0.14590237,0.18941652,0.17411796,0.36338123,0.16830232,0.66836605,0.49711791,0.12350242,0.25368328,0.11379471,0.11973865,0.09455264,0.01876963,0.15326281,0.07347623
2045,0.25824684,0.20284188,0.14557456,0.33506865,0.34950228,0.20450674,0.76138300,0.31060065,0.20117702,0.40752617,0.04713231,0.12151875,0.26261112,0.00672732,0.13882749,0.06046355
2046,0.24183366,0.17183655,0.20948511,0.24982959,0.33618338,0.19055253,0.67110488,0.38981722,0.15312057,0.37321970,0.05973952,0.09325889,0.12643949,0.00632001,0.15935951,0.25125068
2047,0.22438504,0.12119247,0.17229741,0.29107686,0.31297343,0.12163180,0.59003661,0.45253071,0.12075314,0.36930686,0.08223152,0.08769462,0.21284686,0.00310305,0.13173070,0.11192408
2048,0.21242795,0.10016692,0.18190770,0.23057713,0.33706005,0.10471781,0.58673469,0.53936557,0.09561602,0.24753875,0.08845637,0.11742213,0.21361552,0.00920931,0.13082927,0.07433812
2049,0.22771374,0.11983691,0.20627109,0.23697245,0.34777450,0.12799149,0.57031112,0.57330261,0.11168233,0.26728295,0.10448797,0.11949278,0.20666194,0.01812427,0.14049935,0.10566600
2050,0.24652546,0.07186489,0.26319415,0.26302054,0.38802224,0.09486221,0.38635920,0.86581754,0.04886757,0.15949193,0.34527130,0.20505003,0.36654915,0.00815614,0.07074032,0.08394072
2052,0.11656496,0.04113139,0.09404941,0.00742669,0.32365237,0.07350365,0.09569343,0.25424064,0.00875912,0.01485338,0.92121655,0.87117177,0.00000000,0.01639474,0.00957532,0.03205861
2060,0.25469973,0.07681584,0.23682342,0.36918008,0.33597958,0.08693166,0.43346976,0.72570959,0.06670003,0.32922947,0.23997951,0.09780731,0.40913068,0.00363559,0.10315985,0.13101684
