POA_CODE_2016,Total Population,Single Parent Families with Children under 15,Total Indigenous Population,Only method to work is Taxi,Number of 15-24 Year Olds,Total Number Of Immigrants since 2011,55 and Older who need assistance (disabled),Number of households with 1 or less cars,Number of Households with more than 3 people
2773,6010,64,90,4,757,70,132,663,972
2774,12932,230,284,7,1524,106,264,1472,2192
2775,1498,19,53,0,127,9,51,238,147
2776,4025,70,72,0,481,22,83,494,667
2777,17601,293,382,4,2074,113,751,2237,2769
2778,2432,36,50,0,291,12,71,322,370
2779,4974,117,193,5,564,42,128,783,794
2780,13224,327,375,39,1364,407,639,3348,1466
2782,6076,113,120,4,510,54,288,1167,765
2783,2614,72,109,3,280,14,75,478,376
2784,1230,26,25,0,131,10,23,208,184
2785,4543,125,96,0,307,65,184,1067,491
2786,1288,32,30,0,120,17,28,263,137
2787,4448,88,159,0,559,31,161,539,510
2790,15767,413,894,18,1768,122,678,2745,1892
2791,343,3,8,0,28,0,35,46,37
2792,384,0,15,0,33,0,20,49,42
2793,976,19,85,0,105,0,41,119,103
2794,10428,279,863,4,1193,28,511,1745,1293
2795,42550,1080,2267,39,6268,564,1222,5743,5798
2797,426,10,22,0,48,0,10,36,55
2798,2101,33,55,0,182,6,24,155,305
2799,4121,107,161,0,519,22,145,543,563
2800,44993,1165,2687,60,5491,833,1509,6522,6316
2803,281,4,6,0,25,0,10,30,25
2804,2668,67,98,0,248,16,140,389,325
2805,399,9,4,0,25,0,18,48,60
2806,779,14,44,0,61,0,40,102,92
2807,427,9,40,0,27,0,23,64,43
2808,182,0,7,0,12,0,18,30,10
2809,240,3,12,0,12,0,13,24,14
2810,3150,51,88,0,259,20,174,477,341
2817,287,6,12,0,30,0,6,24,35
2818,871,15,78,0,87,0,29,72,125
2820,7316,227,1757,5,916,31,324,1104,819
2821,4810,156,996,4,529,20,173,648,639
2822,410,7,40,0,49,0,13,32,46
2823,1425,40,270,0,144,3,53,189,166
2824,2183,58,356,0,217,28,86,344,253
2825,2383,52,417,0,305,32,75,363,299
2826,201,0,20,0,15,0,0,10,21
2827,3691,127,558,0,388,24,210,568,435
2828,831,22,196,0,86,0,22,126,94
2829,3102,116,959,0,341,26,136,455,369
2830,40291,1215,5793,46,5095,841,1406,5635,5785
2831,1919,36,197,0,169,9,54,168,254
2832,2568,109,969,0,273,42,80,394,323
2833,650,24,276,0,56,0,27,126,84
2834,2340,84,523,0,193,25,157,534,213
2835,4173,83,479,3,449,82,108,582,510
2836,891,33,457,0,122,12,15,159,130
2838,247,14,183,0,28,0,0,49,36
2839,1338,76,815,0,178,3,41,257,165
2840,2695,79,831,4,291,24,61,408,317
2842,630,14,42,0,46,0,20,78,80
2843,1290,30,60,0,124,7,45,151,148
2844,1437,30,110,0,148,9,59,173,142
2845,1980,56,113,4,208,9,78,232,264
2846,275,3,13,0,25,0,14,39,29
2847,2424,50,167,0,256,8,119,321,302
2848,1645,45,101,0,158,0,106,340,174
2849,1546,22,72,0,109,0,61,196,166
2850,17644,378,945,4,1826,133,576,2210,2362
2852,3543,81,221,0,364,3,115,427,451
2864,804,11,12,0,79,0,22,79,113
2865,865,10,26,0,79,3,20,94,113
2866,3093,59,146,0,350,19,125,340,442
2867,602,9,31,0,37,9,16,65,79
2868,652,18,59,0,63,0,44,90,78
2869,1449,35,288,0,148,7,70,239,164
2870,12042,331,1111,24,1565,141,494,1803,1607
2871,9349,219,1046,9,1099,56,361,1277,1139
2873,561,0,27,0,23,0,20,75,50
2874,424,3,25,0,34,0,20,40,50
2875,973,19,83,0,86,9,44,109,110
2876,421,11,23,0,48,0,7,31,53
2877,3883,108,846,0,444,52,141,564,511
2878,372,3,56,0,37,0,0,29,35
2879,638,14,212,0,63,0,29,131,68
2880,18276,611,1534,9,1972,145,1031,3659,2188
2898,382,3,3,0,30,9,7,103,38
