POA_CODE_2016,SPF Children_0_15
POA2632,27
POA2633,4
POA2640,855
POA2641,464
POA2642,83
POA2643,48
POA2644,42
POA2645,6
POA2646,144
POA2647,37
POA2648,44
POA2649,0
POA2650,1470
POA2651,71
POA2652,89
POA2653,53
POA2655,18
POA2656,21
POA2658,28
POA2659,13
POA2660,44
POA2661,0
POA2663,113
POA2665,34
POA2666,119
POA2668,14
POA2669,29
POA2671,89
POA2672,45
POA2675,25
POA2678,0
POA2680,477
POA2681,32
POA2700,130
POA2701,60
POA2702,13
POA2703,21
POA2705,234
POA2706,36
POA2707,24
POA2710,213
POA2711,73
POA2712,26
POA2713,56
POA2714,56
POA2715,33
POA2716,18
POA2717,45
POA2720,177
POA2721,0
POA2722,77
POA2725,7
POA2726,0
POA2727,7
POA2729,30
POA2730,26
POA2731,105
POA2732,27
POA2733,16
POA2734,0
POA2735,3
POA2736,3
POA2737,11
POA2738,19
POA2739,32
POA2745,602
POA2747,1201
POA2748,30
POA2749,475
POA2750,1190
POA2752,94
POA2753,358
POA2754,133
POA2755,0
POA2756,793
POA2757,16
POA2758,97
POA2759,586
POA2760,1080
POA2761,707
POA2762,102
POA2763,603
POA2765,316
POA2766,290
POA2767,542
POA2768,370
POA2769,128
POA2770,2606
POA2773,64
POA2774,230
POA2775,19
POA2776,70
POA2777,293
POA2778,36
POA2779,117
POA2780,327
POA2782,113
POA2783,72
POA2784,26
POA2785,125
POA2786,32
POA2787,88
POA2790,413
POA2791,3
POA2792,0
POA2793,19
POA2794,279
POA2795,1080
POA2797,10
POA2798,33
POA2799,107
POA2800,1165
POA2803,4
POA2804,67
POA2805,9
POA2806,14
POA2807,9
POA2808,0
POA2809,3
POA2810,51
POA2817,6
POA2818,15
POA2820,227
POA2821,156
POA2822,7
POA2823,40
POA2824,58
POA2825,52
POA2826,0
POA2827,127
POA2828,22
POA2829,116
POA2830,1215
POA2831,36
POA2832,109
POA2833,24
POA2834,84
POA2835,83
POA2836,33
POA2838,14
POA2839,76
POA2840,79
POA2842,14
POA2843,30
POA2844,30
POA2845,56
POA2846,3
POA2847,50
POA2848,45
POA2849,22
POA2850,378
POA2852,81
POA2864,11
POA2865,10
POA2866,59
POA2867,9
POA2868,18
POA2869,35
POA2870,331
POA2871,219
POA2873,0
POA2874,3
POA2875,19
POA2876,11
POA2877,108
POA2878,3
POA2879,14
POA2880,611
POA2898,3
