POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2000,0.6947933498833586,-2.212114488725962,-0.2251785536649451,2.4666826046052543,2.7497838373190877,-0.9295486492743683,-0.3296918497054316,2.643559446357855,-1.2825658394515937,-1.871952188784719,6.5465489495780655,1.3654648899410327,4.338634793389973,-0.4482342735764987,-1.2927558715039895,-1.490955077171933
2006,-1.3373095633071375,-3.876024414176476,-4.038426407001898,-0.42921402714618395,2.9944265950960083,-2.2072572411150584,-3.704452547552461,-2.1263632918639965,-1.6687671730614175,-2.887656097953699,1.3560677737548368,11.032499675627525,2.458442070807515,-0.30941218557493516,-1.8108004575712318,0.6046063115520915
2007,1.224142127355854,-2.4363071718883904,1.076873613421127,1.4536506954936392,4.802351372397039,-1.1149348236668166,-0.49952723453736997,2.588910827255228,-1.3213723482215738,-2.2828607651215704,7.776057061201056,3.8279026033459966,3.7365114606152097,-0.3938420492698328,-1.2407527869100299,-0.003260340897451615
2008,1.3673497384491171,-2.4497284846006258,1.7913290392745909,0.8560062939619693,5.271792105160534,-1.0936004014510305,-1.0175572409990759,3.51327202315076,-1.356128083149595,-2.369533958370436,7.289483721534381,3.869677724459881,3.2255402523324053,-0.39534935297339774,-1.3802957062906365,-0.23299322945174114
2009,2.1778293845823153,-2.299731048664148,1.6000473528054417,7.45265338747598,1.9583478467119884,-1.167750928335832,-0.2784336841618099,3.4460480680073706,-1.1319801203283155,-1.2807809335943678,3.513979207057252,-0.041515608797740036,8.733434321070348,-0.35703335884502413,-0.6061713148960635,-0.3212164280210724
2010,1.6884854411573387,-2.147158033237845,0.8076474593272971,7.264416950193417,0.8290353883464858,-1.5453612150666545,-1.5711924481693638,4.24200524825799,-0.6017968181711906,-1.3564286287705059,2.6613017611259586,-0.29641619667548585,8.620845578963923,-0.3721594865759435,-1.2987892024803982,-1.516837087288095
2011,2.5804435711962443,-2.06698638886054,1.5842868637302305,10.480028694386844,0.32444511552844246,-1.613061402184812,-2.514312381630414,4.533118230491103,-0.45392498667572845,-0.912961508371351,1.7890789819099606,-0.08129933114743414,11.392990202758195,-0.34282322446897134,-1.1894036876610579,-0.9929467401070888
2015,0.5631252711584394,-2.469533201867497,1.411792566210373,2.211398084128153,1.098843636162729,-1.3722739395568786,-0.3741848979536878,3.0921697449418453,-1.0972592623106188,-1.8266315385778698,1.1909855159323086,-0.2468672712685496,4.038029622706023,-0.21886334145162667,-0.48279824593420334,-0.08923989772296702
2016,2.0653438709943557,-1.0819102539530217,2.054004723565314,5.5024775037673415,1.7868035105977893,-1.126098264056616,-0.7536811845879077,3.747196757710091,0.04418801010359424,-0.936244723044336,1.8699786361923056,-0.08061379846777807,6.438722226811677,-0.21382531715543343,-1.0086631382014273,-0.35326845293272774
2017,1.6937519898829567,-1.1188445750173455,1.5211804436957534,2.4151916987201036,3.9574803921333155,-0.643707476207915,-0.48249924945962364,3.656778941453131,-0.47513709880943056,-1.6927551568445058,4.614407201875989,1.426908176347723,4.1079468555646095,-0.21856919352766885,-0.660760356442325,-1.2733218280217937
